,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac,bechdel
2749,tt0052933,It Happened to Jane,1959.0,97.0,Comedy,6.6,2258.0,1.0,0.0,0.0,3.0,1.0,3.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2750,tt0052948,Journey to the Center of the Earth,1959.0,129.0,"Adventure,Family,Fantasy",7.0,14916.0,2.0,0.0,0.0,2.0,4.0,2.0,0.5,0.0,0.0,10.0,0.2,0.8,failed: women did not talk to each other
2751,tt0052950,The Journey,1959.0,126.0,"Drama,Romance,War",6.9,1329.0,1.0,0.0,1.0,3.0,3.0,2.0,0.25,0.0,0.3333333333333333,10.0,0.2,0.8,No info
2752,tt0052954,Kaagaz Ke Phool,1959.0,148.0,Romance,8.0,1886.0,2.0,0.0,0.0,2.0,0.0,1.0,0.5,0.0,0.0,5.0,0.4,0.6,No info
2753,tt0052961,Kapò,1960.0,117.0,"Drama,War",7.6,1840.0,3.0,1.0,0.0,1.0,1.0,1.0,0.75,0.5,0.0,7.0,0.5714285714285714,0.42857142857142855,No info
2754,tt0052969,The Killer Shrews,1959.0,69.0,"Horror,Sci-Fi",4.0,4256.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,No info
2755,tt0052993,Last Train from Gun Hill,1959.0,95.0,"Romance,Western",7.4,6149.0,1.0,0.0,0.0,3.0,4.0,2.0,0.25,0.0,0.0,10.0,0.1,0.9,No info
2756,tt0052997,The League of Gentlemen,1960.0,116.0,"Comedy,Crime,Thriller",7.3,3570.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,No info
2757,tt0053001,Li'l Abner,1959.0,114.0,"Comedy,Family,Musical",6.7,1208.0,1.0,0.0,0.0,3.0,2.0,3.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2758,tt0053002,Les liaisons dangereuses,1959.0,106.0,"Drama,Romance",6.9,1179.0,3.0,0.0,0.0,1.0,2.0,1.0,0.75,0.0,0.0,7.0,0.42857142857142855,0.5714285714285714,No info
2759,tt0053033,Maigret and the St. Fiacre Case,1959.0,101.0,"Crime,Drama,Thriller",7.1,1026.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2760,tt0053041,The Man Who Could Cheat Death,1959.0,83.0,"Drama,Horror,Sci-Fi",6.3,1512.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2761,tt0053054,The Mating Game,1959.0,96.0,"Comedy,Romance",7.0,1322.0,1.0,0.0,0.0,3.0,3.0,1.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2762,tt0053065,Middle of the Night,1959.0,118.0,Drama,7.2,1035.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,9.0,0.4444444444444444,0.5555555555555556,No info
2763,tt0053084,The Mouse That Roared,1959.0,83.0,Comedy,7.0,7807.0,1.0,0.0,0.0,3.0,4.0,1.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2764,tt0053085,The Mummy,1959.0,86.0,"Adventure,Horror",6.8,7543.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2765,tt0053106,Letter Never Sent,1960.0,96.0,"Adventure,Drama",7.9,2837.0,1.0,0.0,0.0,3.0,2.0,1.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2766,tt0053108,Never So Few,1959.0,125.0,"Drama,War",5.9,2747.0,1.0,0.0,0.0,3.0,2.0,2.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2767,tt0053114,The Human Condition I: No Greater Love,1959.0,208.0,"Drama,History,War",8.5,5879.0,3.0,0.0,0.0,1.0,3.0,1.0,0.75,0.0,0.0,8.0,0.375,0.625,No info
2768,tt0053115,The Human Condition II: Road to Eternity,1959.0,181.0,"Drama,History,War",8.5,4665.0,1.0,0.0,0.0,3.0,3.0,1.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2769,tt0053121,Fires on the Plain,1959.0,108.0,"Drama,War",8.0,4159.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.25,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2770,tt0053125,North by Northwest,1959.0,136.0,"Adventure,Mystery,Thriller",8.3,285372.0,2.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,10.0,0.2,0.8,failed: women did not talk to each other
2771,tt0053126,North West Frontier,1959.0,129.0,"Adventure,Drama",7.1,2139.0,1.0,0.0,0.0,3.0,4.0,0.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2772,tt0053131,The Nun's Story,1959.0,149.0,Drama,7.6,8935.0,3.0,1.0,0.0,1.0,3.0,2.0,0.75,0.25,0.0,10.0,0.4,0.6,No info
2773,tt0053133,Odds Against Tomorrow,1959.0,96.0,"Crime,Drama,Thriller",7.4,3462.0,2.0,0.0,0.0,2.0,4.0,0.0,0.5,0.0,0.0,8.0,0.25,0.75,No info
2774,tt0053134,Good Morning,1959.0,94.0,"Comedy,Drama,Family",7.9,7101.0,2.0,0.0,0.0,2.0,2.0,3.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778,No info
2775,tt0053137,On the Beach,1959.0,134.0,"Drama,Romance,Sci-Fi",7.2,11462.0,1.0,0.0,0.0,3.0,2.0,3.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2776,tt0053143,Operation Petticoat,1959.0,124.0,"Comedy,Romance,War",7.3,11923.0,2.0,0.0,0.0,2.0,4.0,0.0,0.5,0.0,0.0,8.0,0.25,0.75,No info
2777,tt0053146,Black Orpheus,1959.0,100.0,"Drama,Fantasy,Music",7.5,9208.0,3.0,0.0,0.0,1.0,3.0,2.0,0.75,0.0,0.0,9.0,0.3333333333333333,0.6666666666666666,No info
2778,tt0053168,Pickpocket,1959.0,76.0,"Crime,Drama",7.7,18293.0,2.0,0.0,0.0,2.0,1.0,3.0,0.5,0.0,0.0,8.0,0.25,0.75,No info
2779,tt0053172,Pillow Talk,1959.0,102.0,"Comedy,Romance",7.4,14808.0,2.0,0.0,0.0,2.0,4.0,0.0,0.5,0.0,0.0,8.0,0.25,0.75,No info
2780,tt0053176,Night Train,1959.0,99.0,"Drama,Mystery,Thriller",7.8,2497.0,2.0,0.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5,7.0,0.42857142857142855,0.5714285714285714,No info
2781,tt0053182,Porgy and Bess,1959.0,138.0,"Drama,Musical,Romance",7.1,1449.0,2.0,0.0,0.0,2.0,3.0,0.0,0.5,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143,No info
2782,tt0053183,Pork Chop Hill,1959.0,97.0,"Action,Drama,War",7.1,4054.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,No info
2783,tt0053198,The 400 Blows,1959.0,99.0,"Crime,Drama",8.1,98528.0,1.0,0.0,1.0,3.0,1.0,1.0,0.25,0.0,0.5,7.0,0.2857142857142857,0.7142857142857143,failed: less than two women
