tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac
tt0186183,The Guilty,2000.0,108.0,"Crime,Drama,Thriller",6.2,3102.0,2.0,0.0,1.0,2.0,3.0,0.0,0.5,0.0,1.0,8.0,0.375,0.625
tt0186253,Jesus' Son,1999.0,107.0,Drama,7.0,6746.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,4.0,0.5,0.5
tt0186508,Buena Vista Social Club,1999.0,105.0,"Documentary,Music",7.6,15956.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0
tt0186566,Space Cowboys,2000.0,130.0,"Action,Adventure,Thriller",6.4,71313.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0
tt0186589,Sugar & Spice,2001.0,81.0,"Comedy,Crime",5.7,13187.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.3333333333333333,9.0,0.7777777777777778,0.2222222222222222
tt0186894,Bounce,2000.0,106.0,"Drama,Romance",5.7,19633.0,2.0,0.0,0.0,2.0,3.0,2.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0186975,Down to You,2000.0,91.0,"Comedy,Drama,Romance",5.0,13976.0,2.0,1.0,0.0,2.0,2.0,2.0,0.5,0.3333333333333333,0.0,9.0,0.3333333333333333,0.6666666666666666
tt0187078,Gone in 60 Seconds,2000.0,118.0,"Action,Crime,Thriller",6.5,253649.0,1.0,0.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0187231,Barking at the Stars,1998.0,95.0,"Comedy,Romance",8.7,6308.0,1.0,0.0,0.0,3.0,1.0,0.0,0.25,0.0,0.0,5.0,0.2,0.8
tt0187318,Moondram Pirai,1982.0,143.0,"Drama,Romance",8.6,2157.0,1.0,0.0,0.0,2.0,2.0,1.0,0.3333333333333333,0.0,0.0,6.0,0.16666666666666666,0.8333333333333334
tt0187393,The Patriot,2000.0,165.0,"Action,Drama,History",7.2,246183.0,1.0,0.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0187512,"Slap Her, She's French!",2002.0,92.0,"Comedy,Romance",5.0,5328.0,2.0,1.0,0.0,2.0,3.0,0.0,0.5,0.25,0.0,8.0,0.375,0.625
