tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0366996,The Saddest Music in the World,The Saddest Music in the World,2003.0,100.0,"Comedy,Musical",nm0534665,"nm0410958,nm0866014,nm0534665",7.2,5630.0
tt0367000,House of Voices,Saint Ange,2004.0,98.0,"Drama,Fantasy,Horror",nm1052791,nm1052791,5.0,4270.0
tt0367027,Shortbus,Shortbus,2006.0,101.0,"Comedy,Drama",nm0593463,nm0593463,6.4,31236.0
tt0367082,Fateless,Sorstalanság,2005.0,140.0,"Drama,Romance,War",nm0005759,nm1323271,6.9,6392.0
tt0367085,Soul Plane,Soul Plane,2004.0,86.0,Comedy,nm0855843,"nm0954848,nm0933191",4.5,21091.0
tt0367089,The Squid and the Whale,The Squid and the Whale,2005.0,81.0,"Comedy,Drama",nm0000876,nm0000876,7.3,74061.0
tt0367110,Swades,"Swades: We, the People",2004.0,210.0,Drama,nm0332950,"nm1351784,nm0332950,nm1343477,nm1342923,nm1004422,nm3392919,nm3633352,nm2209781,nm1022153",8.2,78686.0
tt0367153,Toolbox Murders,Toolbox Murders,2004.0,95.0,"Horror,Mystery,Thriller",nm0001361,"nm0026829,nm0317368",5.3,7593.0
tt0367188,Modigliani,Modigliani,2004.0,128.0,"Biography,Drama",nm0205169,nm0205169,7.4,10529.0
tt0367478,Wake of Death,Wake of Death,2004.0,91.0,"Action,Adventure,Drama",nm0553662,"nm0205169,nm1531607,nm0358006,nm0553662",5.7,8601.0
tt0367479,After the Sunset,After the Sunset,2004.0,97.0,"Action,Comedy,Crime",nm0711840,"nm1033788,nm0742194",6.3,43571.0
tt0367495,Anbe Sivam,Anbe Sivam,2003.0,160.0,"Adventure,Comedy,Drama",nm1326535,"nm0352032,nm1793521",8.7,14294.0
tt0367594,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,2005.0,115.0,"Adventure,Comedy,Family",nm0000318,"nm0001094,nm0041864",6.6,408307.0
tt0367631,D.E.B.S.,D.E.B.S.,2004.0,91.0,"Action,Comedy,Romance",nm1286340,nm1286340,5.3,14334.0
tt0367652,Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,2005.0,83.0,Comedy,nm1600805,"nm0325214,nm0001705,nm0308099,nm0911598",4.7,47304.0
tt0367677,Dracula 3000,Dracula 3000,2004.0,86.0,"Horror,Sci-Fi",nm0740213,"nm0586930,nm0740213",2.1,5837.0
tt0367790,Baadasssss!,How to Get the Man's Foot Outta Your Ass,2003.0,109.0,"Biography,Drama",nm0005522,"nm0887708,nm0005522,nm1380203",7.3,4622.0
tt0367859,The Man Who Copied,O Homem Que Copiava,2003.0,123.0,"Comedy,Crime,Drama",nm0299134,nm0299134,7.6,9048.0
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,2008.0,122.0,"Action,Adventure",nm0000229,"nm0462895,nm0000184,nm0622288,nm0442241",6.1,410350.0
